"","text"
"191","work  home   firstime   firstime  experienced self quarantine  coming  close contact wi "
"192","coming home  work amp cooking dinner feeling like  whole assss se ora"
"193","   know   may   made  home   months ago  getting close  partnership  "
"194"," dyslexic  never   cruel   looked   clock   computer  thought  said   "
"195","dog walks work  home pho hong  honestly  pretty perfect birthday"
"196","oh wfh work   home"
"197","yeah  ll try  m working  home  still  people work   like   would answer  "
"198"," goes  work done   sun  freaking hard  breath kalau dah work  home mana nak ras "
"199","big night  national city    re hearing   tod overlay  old town amp discussing  housing element update  "
"200","pot holders custom kitchen gifts kitchen linen buffalo check work  home marshmellows cooking housewarmin "
"201","awesome  got back home  work getting  ready   code   "
"202","  would like  work  home  boss"
"203"," m looking forward  presenting feb   annual meeting hosted   alma mater    "
"204","agree   uk  folk coming back  ireland unfair  re  risk     ireland soc "
"205","  home  would cost years  average entry level programming wo "
"206","waiting   boyfriend  get home  work   haven  seen    min  get  pups feel  lol           "
"207"," poor mam comes home  work stressed  shattered every night working hours longer    trying  "
"208","wait   figure       save money   people   work  home  "
"209","   somewhere  run  permanent work  home etc   d take  otherwise    "
"210"," voice  text thing  somehow left   transcribed    text message pretty perfectly captures  work  ho "
"211","   go thru  shit   wife  going  start work  home yet  cannot stop   checking "
"212","ive    much better  history  english lang lit ever since     work  home uh"
"213","microsoft shares surge  new high  work  home revenue boost  "
"214"," solution   pandemic lifts  local offices  work  home workers  congregate get tech supp "
"215"," casual typewriter    campus office        clearly  m failing  work  home"
"216"," super grateful right     educators  work extra hard  educate  next generation ii  essenti "
"217"," hour work  home  benefits amp bonuses         kinda shit  like  hear      "
"218","one positive   pandemic    got  home gym    ideal   work   silence without talking "
"219","  use  app  chat w  bf amp friends due   anxiety   appear online  wa especially  night   wor "
"220","cw food poultry   love crockpot cooking came home  work  perfectly cooked chicken breasts added  left "
"221"," need doctors nurses  caretakers  stop spreading  virus police  follow    "
"222"," work  home life allows   dress like  pros   bad gig haha"
"223","shares surge  new high  work  home revenue boost   trending "
"224","finally home  work   stop   chill"
"225"," m glad charlie  able  get  week   work  glad  ll  able  return next week  won  miss mu "
"226","  work  home  course ima    house"
"227","imagine  dad mum coming home  work   new strain  weed  surprise"
"228"," day gifts  couples  work  home together"
"229","y   wife would always say moms home   got back  work      son would call   moms home  "
"230","strategies   healthy work life balance  "
"231","   answer  paraded    almost  full year  politicians pretending  work  "
"232","new bride new monogram   one wears  better  kristel   sporting  soon   ne "
"233"," see   fat ass mexicans named emilio  history class  work  home depot   "
"234","mogget  adjusting   work  home life quite nicely    ask"
"235"," m  nice   work  home     really check  tone  voice anywhere"
"236","yes  genuine  influencer  would work harder  create new  original content   safe "
"237","   funny  watch  people whine   got home  work  play   really   "
"238"," black camaro pulled    today    drivin home  work   like girls   door "
"239","analysts expect apple  grow  year  work  home activities boost sales  mac"
"240"," made  home  work let  start cleaning "
"241","everyone  ssdi    prioritized  vaccines  fit year olds  work  home  figures     know"
"242","  really remarkable  got four guys  outside  picture   usmnt  one pandemic trun "
"243","moral   story   want  become  tech billionaire   work   home move   garage"
"244","  present day  re able  connect   many exceptional potential buyers fascinated   main work "
"245","isn  work  home great   "
"246","  everybody  working  home  ve  thinking  ways   balance work  life  living    "
"247"," high levels  ongoing infection make  standard tools  mitigation social distancing masks  work  "
"248","  modelling   privileged  go   nonessential reasons   photo op trip   airport  "
"249","  car sliding   way home  work       "
"250"," got home  work"
"251","since  wife   work  home  creative place hasn  changed  years   taken tim "
"252"," hardest part  moving   pandemic  establishing good  work  home  routine  takes  solid "
"253","australia  tribez retweet  win food poisoning air vehicles fart okcupid work  home facebook went filet mi "
"254","  got home  work  first thing  smelled   walked   door  rubin cologne     made  feel "
"255"," love   long       drive   fill   bird squirrel feeders make "
"256"," good friend    iranian asylum seeker    waiting    subsistence   allowanc "
"257","ben bartlett serving  work  home parent  zoom realness  "
"258"," feel   re    boat everything  closed visits  prohibited    curfew  "
"259"," homeschool   work  home   ve   much easier time    yo daughter  re "
"260","yes   lucky   lot  ways  work  home remain employed  avoided covid  ev "
"261"," baby comes home  work   "
"262"," work    get home  m going  accomplish  much   home  work   m going  accomplish half  thing   currently sips wine"
"263"," people really come home  work   like  greeted   dog"
"264","roomie gonna sleep  day tomorrow   coming home   exhausting day  work  eight   go  "
"265","cybereason offers  new take  protecting   work  home laptops  phones"
"266","dear pals today  m helping  mum work  home      think    agree  m   really good job     paw wa "
"267","working  home  starting  fall apart top bankers warn financial post"
"268","work  home admin   homeschooling group drives hrs  gets covid vax   county    live  bc   "
"269"," friend  mine   funeral home director   saying last fall   work  busier becaus "
"270"," put  fine point   work  home  miserably try  juggle work  supervising school  going  stop   "
"271"," work  home   gotta get   house  night    time"
"272","work  home   doggo     "
"273","   daughter kept      got home  work around    slept till noon  "
"274","  way  work  home lol crosswinds tagaytay"
"275","yakuza mom  almost done  work   ll try  gather  thoughts   twitlonger   get home    go "
"276"," m sorry  m late getting home  work     close tabs   computer"
"277","orang suruh work  home korang buat le tour de langkawi   work  home   annual leave   alwa "
"278","  could get home  work  dark  would  greattt"
"279"," weather service isn  making  noise  snow   map  starting  spook   flashbacks   n "
"280"," whatever happens   hospitalist   refuse  flu vaccine  suppose     "
"281","wife  honey please   forget  buy bread   re coming home  work  lest  forget  girlfriend chi "
"282","   much  get done    absolutely zero energy   get home  work   sucks"
"283"," got  fucking raise   work performance last year  worked full time  home  parenting  toddler ful "
"284","ohhhh yeah  re lucky lmao    best thing  get home  work make dinner  watch star wars"
"285","hi guys   work  home  sell tables suitable   work station   office table  ft  ft    "
"286","   metering  internet customers  tb   middle   global pandemic  wife   wo "
"287","   one charger   phone takes priority   need music   way home  work"
"288","top tips  work  home"
"289","going directly home   long day  work driving slow  well"
"290","na   got home  work like  hour ago    gravy baby"
"291","wow microsoft reports revenue growth hasil dari lonjakan cloud business ramai sangat ni work  home"
"292","    try  get dressed even though  work  home  almost answers door  undies   times"
"293"," love getting home  work   clock    second job   apparently   kid  bitch"
"294","  relief si dang gets  remain  home   family amp community  much work needs   done  making sure si  "
"295","fantastic well deserved    seeing    work  home   lovely  makes  feel bet "
"296","slept  day  stayed home  work also ordered  new phone tracking said new phone  delivered  phone "
"297","tomorrow  wednesday  means      days  work  home     m sad    love  "
"298","dudes  ve  working  home since march  still traveling across  country  like  lol    know ho "
"299","working  home    hardest part  transitioning   first dev role  work  client provided compu "
"300","got rear ended   drive home  work today   instead  getting pissed      awful start   "
"301"," job duck   company  hires virtual assistants  work  home full time  u  based companies      "
"302","learning lessons  lockdown   staying  home work studies    point  assume  net neutrality comes "
"303","privacy teams helped navigate  pivot  work  home"
"304","osiel waited    come home  work  nap like    know    ever nap  work even   sa "
"305"," mom   usually order subs   local shop   every  friday  order online  grab    w "
"306"," dad used  tape    would watch    afternoon     work  came home  school one d "
"307","literally got home  work last night    serious mental breakdown woke   new bitch amp reminded       "
"308","today    shit    got home  work   fucking batteries died   thermostat    free "
"309","also known  best work  home lunches"
"310"," man hit     job today   work  home"
"311","  way home  work  different  brazil    said  wanted  move   place colder     missed sn "
"312"," ray  hope   friend jason williams   family  home  destroyed  fultondale last night   thought  "
"313","comms  dire  hospital  beyond crisis  ve  beds icu  full staff  sick ambulances stacking "
"314","work  home data entry work  home jobs online jobs data entry jobs part time jobs typing job"
"315","aight  ll download    get home  work send   inv"
"316","  pm   m still walking home  work  crave death"
"317"," yet  haven  made  home  work yet  m   way     stop   drug store  "
"318","question  someone get  snow day   work     working  home since march"
"319"," people would say tools   poor substitute   person collaboration   therefore seen  "
"320","working  home   solution  sma ll businesses amid covid social distancing read   "
"321","excitement  brewing  interchange hq   slowly return   office  ve got  covid safe plan physical "
"322","fascinating look   companies  embraced   work  home  work  anywhere"
"323"," look   boys face   get home  work   best feeling ever   "
"324","  ever since starting work  home"
"325"," anyone else get home  work   sit   chair   feels like hours   realize   like minutes"
"326"," guide  everything  need  work  home according  product reviewers"
"327","  got home  work  im  tired  seeing  picture   container  cream cheese labeled  cheam "
"328"," home chenle work  johnny work  ten"
"329"," work  morris county although largely working  home since march  "
"330"," parents  refusing  drive     work tomorrow     take  uber       tak "
"331","weeks  vacation time  work  year   one take vacation time    work  home    go anywhere frik"
"332","  go   pub   re still open  stay  home   airports  open  work f "
"333"," broke    way home  work  inhale exhale"
"334","y   got called back  ve  back  jan th       won  allow us  work  home"
"335","back home  work showered amp  terrible pain    manager also warned   sitting despite  fact    "
"336","stop thinking   m  work     come home  work   see  bright smile   brightens "
"337"," brother child amp  spend  afternoons  home  work reciting tiktok sounds amp   ashamed"
"338","   lady  know   rich  steals food   work whole cheeses entire bunches  bananas filling "
"339","work computer switched   diffrent working  home  time"
"340"," sun wasn  even     barely roused  sleep  hawks coming home late  work per usual"
"341","food       get  dinner   way home  work"
"342"," actually   feel comfortable going back  work  m ok  working  home"
"343"," m guessing    probably  type  employers  think   still   dres "
"344","every time  open  bedroom room   get home  work  lunch  computer turns       extremely weird"
"345"," took   whole ass hour  get home  work    didn  even get passed rd gear"
"346"," didsbury today  saw  brilliant work   emergency services    defend  area  floodi "
"347","  kept  really strict work life balance    work  home era  clock    clock  ha "
"348","oh grand  get home  work  mum  left  key   lock  everyone  phones     stuck   garden  beers"
"349","security startup x cloud cybereason offers  new take  protecting   work  home laptops  phones"
"350","   excited  find  box waiting     got home  work   took   purchases  "
"351","sounds like  unessential work    done  home"
"352","lost work time  people working  home   issue members  local government   fully d "
"353","  businesses  suggested working  home indefinitely many companies   likely choose  pursue  hybr "
"354"," grandkids   well   surface amp hybrid schooling  parents working  hom "
"355"," love coming home  work   clean cozy home  dogs always look forward  seeing    love getting   "
"356","claims customer experience journey manager work  home allstate insurance company"
"357"," unlocked  new work  home   partner achievement today  significant  overheard  conversation  ask "
"358","absolutely love  view every time  head home  work"
"359","im home  work  hope  re    good day night  ll work  videos  post tomorrow"
"360","  work  home"
"361"," m torn    really miss snow     holy shit   degrees outside   got home  work today    awesome  "
"362","thank   majority   family live  multi generational households people  bringing  "
"363"," read  headline      m  work  home  d personally  happy  give   place  "
"364","cool lol mine  something  happened irl  got sent home  work bc  lockdown   la "
"365","doves  hits different   way home  work  night  "
"366","   interesting privilege dynamic playing    self righteous  m going  work  home   m res "
"367","   us fortunate  work  home    time  refresh  work space  sturdy secondhand furn "
"368","mom came home  work   cold   quarantined      spend  next  days monitoring  sy "
"369","work  home   style"
"370"," m incredibly grateful   able  work  home right    fact   re  busy making something tha "
"371","mine  grown working  home   mn   parents      least  one "
"372","home  work    video stuck   brain  hours"
"373","  record   grateful    job let alone one  allows   work  home   miss going outsi "
"374"," worked right   hallway  sekou  turner    left  work  home last march  "
"375","rd week work  home    university brought back freshman students  winter qtr   "
"376","oh   job  work  home answering emails   literally   would "
"377","come  bro    home  work     rest day  couldnt come     day   week   "
"378"," shit  blows     one  home  arrived  day earlier cool      way  work  "
"379","hitting work  today  "
"380","  glad   found      got home  work   dont know   wouldve  prof "
"381","something   commute home   move  one end   couch      work  home  lates "
"382","work   job  leaves   tired   anything   get home  doesn  pay enough  "
"383","  like  dad coming home  work completely drained  exhausted   soon   son says dad "
"384"," boss called   congratulate     past year  m   productive employee   lockdown suits "
"385","please add   additional payment  credit  help us   cost  ve absorbed  buying technol "
"386","  re wondering  bad  brain    know    way home  work today  drove past   house"
"387"," got home  work nowww   "
"388","   tiring  mentally draining feeling fearful   parents health   pandemic    help  "
"389"," sure    reason   vaccinate  teachers yet unless otherwise prioritiz "
"390"," m  ignorant   fact   lot  people rely  schools  daycare     ridicul "
"391","work  home homeschool   "
"392","impressed   work local athletic directors  leadership teams  done  get   fan less  games live st "
"393"," isn   neat   wanted      m otherwise pretty happy   setup  ve installed  "
"394"," still got  capitol fenced      ride  independence  go home  work"
"395"," work  one   largest canadian companies   financial sector     need  spe "
"396"," came home  work dinner  cooked  spliff rolled  bath  set  face products  mirror    usual ni "
"397","fr even especially  living   apartment    like moving really far   lease  ove "
"398"," cat     little shit  wanted  take like  hour nap   got home  work  ate   kept "
"399"," min  work  home   hate life  entire time"
"400"," think  office tenants  going back   flexibility  work  home days per week"
